Date,Red_Numerator,Red_Denominator,Orange_Numerator,Orange_Denominator,Green-E_Numerator,Green-E_Denominator,Green-D_Numerator,Green-D_Denominator,Green-C_Numerator,Green-C_Denominator,Green-B_Numerator,Green-B_Denominator,Blue_Numerator,Blue_Denominator
2016-07-01,75088.94,84131.8,58667.4,61111.77,12154.93,16151.98,8079.852,11255.55,8523.613,11627.01,5829.879,7360.889,16232.51,17379.96
2016-07-04,74791.45,83505.8,54514.89,56140.7,11933.99,15018.77,8127.903,10357.81,9404.306,12213.63,7249.341,8365.882,13689.86,15164.36
2016-07-05,75400.73,81658.81,53041.9,57477.99,12483.23,16970.24,7559.43,11416.12,8278.768,11816.38,5720.529,7865.593,14757.05,15865.55
2016-07-06,75456.1,82244.57,54617.34,58933.68,11924.24,15948.29,7712.065,10601.66,8612.602,12267.56,6460.271,8415.497,14630.82,16317.05
2016-07-07,78231.36,84656.13,58926.39,60706.82,12182.72,15774.97,8079.312,10759.3,9540.752,12419.81,6342.31,7996.444,16295.65,17461.05
2016-07-08,74282.79,81237.66,53502.82,56281.34,10598.13,15308.09,7357.353,10513.23,8556.517,12453.18,6040.148,8099.588,15402.62,16374.28
2016-07-11,75452.46,82154.07,53702.19,57493.84,10794.2,15339.2,7747.626,10684.11,8536.698,12816.69,6473.114,8187.487,15124.05,16247.36
2016-07-12,73215.59,81030.71,51540.5,55714.72,11045.28,15918.03,3761.902,4952.274,7287.69,10858.68,6965.674,9858.961,14282.86,15634.09
2016-07-13,76634.03,82713.49,53459.03,56748.92,11238.18,15509.8,7219.875,10620.85,9207.271,12683.24,6266.234,8295.186,10226.04,13205.49
2016-07-14,73474.98,80698.14,53223.55,57544.25,10846.5,15687.74,7059.911,10244.53,8567.539,12674.44,5984.078,8263.413,14746.84,15823.47
2016-07-15,61430.27,66434.52,41312.36,44594.46,8923.53,12623.7,5926.236,8501.644,6624.421,9256.336,4867.518,6278.289,12413.31,14034.54
2016-07-18,73759.62,80463.92,53823.68,57715.36,12758.26,16755.3,6849.483,9736.109,8780.608,12894.41,5680.867,8124.438,15298.27,16194.85
2016-07-19,75376.35,82144.95,51007.07,56576.14,10563.15,14917.46,8009.889,11083.07,8693.864,12675.52,5349.737,7569.299,14032.44,15318.68
2016-07-20,80420.9,86000.92,58248.77,60566.49,11603.38,15227.07,8485.934,10691.33,9498.412,12167.99,7124.75,9109.598,14632.41,15636.73
2016-07-21,76773.26,84646.01,57179.15,60800.37,11320.16,15184.3,8308.267,11159.0,8856.704,12012.58,6868.424,8474.398,16561.17,17059.6
2016-07-22,71697.89,81340.6,51197.99,55450.58,10343.57,14878.7,8245.646,11172.0,8533.621,12301.47,6320.323,8107.211,13949.84,15658.73
2016-07-25,76123.8,81723.17,52998.88,57833.45,10148.41,14176.61,7760.701,11060.54,8697.805,12498.21,6514.527,8291.771,14656.3,16546.21
2016-07-26,68609.49,76983.46,51737.03,55451.59,11172.81,15662.37,7865.839,11159.75,8489.774,12238.97,5887.373,8131.001,14865.78,16084.73
2016-07-27,74554.68,83079.16,54278.51,57485.19,10244.35,15389.23,7520.811,10953.28,7590.402,11158.54,5671.611,8204.556,14774.66,15732.04
2016-07-28,68166.71,76536.75,48768.73,53906.73,9741.922,14778.96,7355.649,10984.1,7791.455,11951.54,5690.465,8134.919,12520.26,14003.24
2016-07-29,81176.73,85905.63,57731.98,60637.29,11906.51,15524.34,8247.799,11042.66,9055.635,11821.3,6559.95,8237.622,15413.29,16007.14
2016-08-01,74067.48,80316.78,49695.01,54549.48,10821.2,15237.72,6707.465,9937.029,7234.316,10837.7,6425.935,8780.765,15090.01,16133.63
2016-08-02,79236.13,85631.25,52262.58,56567.18,11128.3,15115.44,8511.208,11037.54,9273.382,12330.71,6981.43,8730.511,15484.26,16488.88
2016-08-03,75551.28,81991.11,51305.8,56118.31,10847.52,15424.2,8183.891,11067.84,8400.22,12239.62,6141.644,8212.378,14264.72,15192.8
2016-08-04,75919.24,82351.5,52228.84,56059.37,12759.77,18095.29,8475.191,11305.74,8019.181,11561.58,5727.676,7855.328,16027.71,16879.28
2016-08-05,73116.32,82390.16,54737.7,57531.44,11502.04,16374.47,7698.857,10767.54,7511.803,11041.53,6055.466,8018.186,15211.71,16174.1
2016-08-08,75544.37,81959.67,54104.06,58174.47,11377.88,15906.2,8151.391,10996.75,8129.778,11762.03,6314.058,8098.96,16023.79,16781.38
2016-08-09,75349.73,80963.42,55108.72,58373.01,10698.75,15365.19,8583.593,11084.54,8557.536,11982.23,5810.533,8193.605,15101.21,15996.41
2016-08-10,71935.78,82768.09,53403.08,56254.03,10447.94,15344.58,8122.924,11061.19,7914.893,11614.66,5937.015,8275.561,14712.22,16131.63
2016-08-11,74243.92,80855.76,50764.02,58082.16,10486.17,15599.17,7508.245,10520.09,8195.057,12220.03,6633.499,8481.849,15431.7,16149.44
2016-08-12,73643.97,81420.7,52171.76,57140.79,10944.32,15563.78,8097.449,11056.14,8350.405,12538.4,6704.867,8285.79,14780.26,15740.85
2016-08-15,74853.91,82235.38,53543.81,57363.3,10433.16,15375.09,7444.07,10557.18,8193.762,12386.0,6708.084,8639.171,15222.94,15749.97
2016-08-16,75206.25,82983.58,52001.74,56504.81,10677.39,15666.2,7571.599,10713.06,9415.878,13126.4,6485.321,8545.693,14538.76,15523.66
2016-08-17,76200.29,82922.41,53180.29,57215.19,10438.93,15483.11,8413.706,10928.75,8494.367,11913.07,6458.843,8172.137,14622.42,16060.2
2016-08-18,74592.83,80758.99,52361.9,58474.38,10496.51,15636.26,7880.335,11118.91,7951.29,11642.44,6808.79,8291.24,15652.62,16839.36
2016-08-19,69588.25,77452.81,50220.28,55029.24,10968.57,15413.6,7365.401,10806.5,7632.159,11573.68,6204.599,8353.193,15622.98,16497.94
2016-08-22,76966.09,83245.46,56397.77,59326.3,11652.19,15286.88,7300.49,10224.32,8211.123,11979.03,6922.172,8288.576,16092.82,16930.12
2016-08-23,77900.16,83434.47,54079.81,57810.7,10832.42,15218.43,8041.686,10901.01,8966.636,12087.45,6299.97,7949.331,15296.03,16052.72
2016-08-24,80478.29,86065.57,58352.15,60956.49,11515.26,15278.46,8436.721,10832.15,9122.477,11991.65,7035.627,8752.402,15833.18,16175.27
2016-08-25,73185.93,81694.75,53768.88,57122.64,9609.027,13881.47,8110.067,10698.71,8178.091,11721.42,6226.864,8032.179,14170.86,15547.25
2016-08-26,78046.55,84666.99,57820.85,59904.04,10726.49,15191.76,8383.952,10954.94,8881.246,12527.12,6444.449,7994.663,17318.75,17695.35
2016-08-29,76137.2,83004.94,51095.67,56301.51,10535.39,14501.13,7778.965,10553.86,8834.954,12074.01,6253.901,7899.096,15032.37,15902.49
2016-08-30,80772.53,85044.54,55225.73,58621.34,11504.74,15186.27,8182.359,10622.14,8314.752,11436.13,6618.58,7944.621,16723.01,17183.39
2016-08-31,77152.7,83007.17,54657.49,58377.05,11890.35,15413.78,8364.001,10642.6,9260.639,12290.27,6392.723,7933.528,17181.78,17712.71
2016-09-01,80252.35,85621.28,56139.34,59433.53,10674.35,14525.91,8491.66,10774.64,8806.1,12177.73,6678.029,8297.851,16679.59,17089.93
2016-09-02,75325.53,80936.96,50594.31,55610.96,9886.715,14555.68,8043.566,11094.75,8381.381,11967.16,5948.304,7967.849,15026.21,16633.28
